Code,Name,Level,Card_type,Color,Form,Attribute,Digimon_type,DP,Play_cost,Digivolve_cost_1,Digivolve_level_1,Digivolve_cost_2,Digivolve_level_2,Effect,Digivolve_effect,Security_effect,Deck_type,Deck_name
BT4-003,Koromon,2,Digi-Egg,Yellow,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you have 3 or fewer security cards, 1 of your opponent's Digimon gets -1000 DP for the turn.",NULL,booster, Great Legend [Bt-04]
BT4-004,Budmon,2,Digi-Egg,Green,In-Training,NULL,Vegetation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn] While this Digimon has ＜Digi-Burst＞, it gets +1000 DP.",NULL,booster, Great Legend [Bt-04]
BT4-005,Missimon,2,Digi-Egg,Black,In-Training,NULL,Machine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn] While this Digimon has [D-Brigade] in its type, it gets +1000 DP.",NULL,booster, Great Legend [Bt-04]
BT4-006,Xiaomon,2,Digi-Egg,Purple,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn] While there are 10 or more cards in your trash, this Digimon gains ＜Retaliation＞. (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)",NULL,booster, Great Legend [Bt-04]
BT4-007,Otamamon,3,Digimon,Red,Rookie,Data,Amphibian,5000,2,2,2,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-008,Agumon,3,Digimon,Red,Rookie,Vaccine,Dinosaur,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, return this card to its owner's hand.",NULL,booster, Great Legend [Bt-04]
BT4-009,Flamemon,3,Digimon,Red,Hybrid,Variable,Wizard,2000,3,0,2,NULL,NULL,[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card with [Hybrid] in its form and/or 1 red Tamer card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-010,Fugamon,4,Digimon,Red,Champion,Virus,Demon,3000,3,1,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-011,Agunimon,4,Digimon,Red,Hybrid,Variable,Wizard,5000,5,2,3,NULL,NULL,You may Digivolve this card from your hand onto one of your red Tamers as if the Tamer is a level 3 Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-012,GeoGreymon,4,Digimon,Red,Champion,Vaccine,Dinosaur,5000,5,2,3,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Delete 1 of your opponent's Digimon with 4000 DP or less.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-013,BurningGreymon,4,Digimon,Red,Hybrid,Variable,Dark Dragon,6000,6,3,3,NULL,NULL,You may Digivolve this card from your hand onto one of your red Tamers as if the Tamer is a level 3 Digimon.[Your Turn] This Digimon gets +3000 DP.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-014,Vermilimon,5,Digimon,Red,Ultimate,Data,Ankylosaur,8000,5,3,4,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-015,Volcdramon,5,Digimon,Red,Ultimate,Data,Dragon,7000,7,3,4,NULL,NULL,NULL,＜Security Attack +1＞ (This Digimon checks 1 additional security card.),NULL,booster, Great Legend [Bt-04]
BT4-016,Aldamon,5,Digimon,Red,Hybrid,Variable,Wizard,7000,8,3,4,NULL,NULL,"＜Security Attack +1＞ (This Digimon checks 1 additional security card.)[Your Turn] While this Digimon's digivolution cards include a Digimon card with [Hybrid] in its form or a red Tamer card, it gets +4000 DP.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-017,RizeGreymon,5,Digimon,Red,Ultimate,Vaccine,Cyborg,7000,8,3,4,3,4,[Your Turn] This Digimon is also treated as yellow.[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・You may play a red or yellow Tamer card with a play cost of 4 or less from your hand without paying its memory cost.,"[When Attacking] If you have a Tamer in play, 1 of your opponent's Digimon gets -2000 DP for the turn.",NULL,booster, Great Legend [Bt-04]
BT4-018,Spinomon,6,Digimon,Red,Mega,Virus,Dinosaur,10000,10,2,5,NULL,NULL,[Your Turn] This Digimon gets +3000 DP.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-019,VictoryGreymon,6,Digimon,Red,Mega,Vaccine,Dragonkin,12000,11,4,5,NULL,NULL,[When Digivolving] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Delete 1 of your opponent's Digimon with 8000 DP or less.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-020,ShineGreymon,6,Digimon,Red,Mega,Vaccine,Light Dragon,11000,12,3,5,3,5,"[Your Turn] When one of your red or yellow Tamers is suspended, this Digimon gains ＜Security Attack +1＞ (This Digimon checks 1 additional security card) for the turn.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-021,Gaomon,3,Digimon,Blue,Rookie,Data,Beast,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, return this card to its owner's hand.",NULL,booster, Great Legend [Bt-04]
BT4-022,Sangomon,3,Digimon,Blue,Rookie,Data,Mollusk,4000,3,0,2,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-023,Strabimon,3,Digimon,Blue,Hybrid,Variable,Beastkin,2000,3,0,2,NULL,NULL,[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card with [Hybrid] in its form and/or 1 blue Tamer card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-024,Tobiumon,4,Digimon,Blue,Champion,Vaccine,Aquatic,3000,3,1,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-025,Lobomon,4,Digimon,Blue,Hybrid,Variable,Warrior,5000,5,2,3,NULL,NULL,You may Digivolve this card from your hand onto one of your blue Tamers as if the Tamer is a level 3 Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-026,GaoGamon,4,Digimon,Blue,Champion,Data,Beast,5000,5,2,3,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・＜Draw 1＞ (Draw 1 card from your deck.),NULL,NULL,booster, Great Legend [Bt-04]
BT4-027,KendoGarurumon,4,Digimon,Blue,Hybrid,Variable,Cyborg,6000,6,3,3,NULL,NULL,You may Digivolve this card from your hand onto one of your blue Tamers as if the Tamer is a level 3 Digimon.[When Attacking] Return 1 of your opponent's level 3 Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-028,Piranimon,5,Digimon,Blue,Ultimate,Virus,Aquatic,7000,6,3,4,NULL,NULL,NULL,[When Attacking] Trash the top digivolution card of 1 of your opponent's Digimon.,NULL,booster, Great Legend [Bt-04]
BT4-029,Gusokumon,5,Digimon,Blue,Ultimate,Vaccine,Crustacean,10000,7,3,4,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-030,Beowolfmon,5,Digimon,Blue,Hybrid,Variable,Warrior,7000,7,3,4,NULL,NULL,"＜Jamming＞ (This Digimon can't be deleted in battles against Security Digimon.)[Opponent's Turn] While this Digimon's digivolution cards include a Digimon card with [Hybrid] in its form or a blue Tamer card, it can't be attacked.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-031,MarinChimairamon,5,Digimon,Blue,Ultimate,Vaccine,Composite,7000,7,3,4,NULL,NULL,[On Play] You may return 1 of your other Digimon to its owner's hand to return 1 of your opponent's Digimon with no digivolution cards to its owner's hand. Trash all of the digivolution cards of your Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-032,MachGaogamon,5,Digimon,Blue,Ultimate,Data,Cyborg,7000,8,3,4,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Return 1 of your opponent's level 4 or lower Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.,"[Your Turn] While you have a Tamer in play, this Digimon gets +2000 DP.",NULL,booster, Great Legend [Bt-04]
BT4-033,ZeedGarurumon,6,Digimon,Blue,Mega,Data,Cyborg,12000,11,4,5,NULL,NULL,[When Digivolving] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Return 1 of your opponent's level 5 or lower Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-034,Regalecusmon,6,Digimon,Blue,Mega,Virus,Aquatic,11000,11,3,5,NULL,NULL,"[When Attacking] Trash the bottom digivolution card of 1 of your opponent's Digimon. When you do, trigger ＜Draw 1＞ (Draw 1 card from your deck) and gain 1 memory.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-035,MirageGaogamon,6,Digimon,Blue,Mega,Data,Beast Knight,12000,12,4,5,NULL,NULL,[When Digivolving] Gain 1 memory for every 4 cards in your opponent's hand.[Your Turn] This Digimon is unblockable.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-036,Falcomon,3,Digimon,Yellow,Rookie,Vaccine,Avian,5000,2,2,2,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-037,Kudamon,3,Digimon,Yellow,Rookie,Vaccine,Holy Beast,2000,3,0,2,NULL,NULL,[On Play] You may trash the top card of your security stack to have 1 of your opponent's Digimon get -2000 DP for the turn.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-038,BushiAgumon,3,Digimon,Yellow,Rookie,Vaccine,Dinosaur,3000,5,0,2,NULL,NULL,＜Rush＞ (This Digimon can attack the turn it comes into play.),NULL,NULL,booster, Great Legend [Bt-04]
BT4-039,Growlmon,4,Digimon,Yellow,Champion,Data,Dark Dragon,4000,4,2,3,NULL,NULL,NULL,"[Your Turn] While you have 3 or fewer security cards, this Digimon gets +1000 DP.",NULL,booster, Great Legend [Bt-04]
BT4-040,Diatrymon,4,Digimon,Yellow,Champion,Vaccine,Ancient Bird,6000,5,2,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-041,Meicoomon,4,Digimon,Yellow,Champion,Unknown,Unknown,4000,5,2,3,NULL,NULL,"[On Play] If you have 3 or fewer security cards, 1 of your opponent's Digimon gets -4000 DP for the turn.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-042,Piddomon,4,Digimon,Yellow,Champion,Vaccine,Angel,5000,6,1,3,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-043,Crowmon,5,Digimon,Yellow,Ultimate,Vaccine,Mysterious Bird,8000,5,3,4,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-044,HippoGryphonmon,5,Digimon,Yellow,Ultimate,Data,Mythical Beast,6000,6,3,4,NULL,NULL,"[When Attacking] If you have 3 or fewer security cards, 1 of your opponent's Digimon gets -3000 DP for the turn.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-045,Maycrackmon,5,Digimon,Yellow,Ultimate,Vaccine,Beastkin,7000,7,3,4,NULL,NULL,"[Opponent's Turn] While you have 3 or fewer security cards, all of your Security Digimon get +4000 DP.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-046,WarGrowlmon,5,Digimon,Yellow,Ultimate,Data,Cyborg,7000,8,3,4,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・1 of your opponent's Digimon gets -4000 DP for the turn.,"[Your Turn] While you have 3 or fewer security cards, this Digimon gets +1000 DP.",NULL,booster, Great Legend [Bt-04]
BT4-047,Rasielmon,6,Digimon,Yellow,Mega,Vaccine,Throne,10000,10,4,5,NULL,NULL,[When Digivolving] Trigger ＜Recovery +2 (Deck)＞. (Place the top 2 cards of your deck on top of your security stack.)[At End of Opponent's Turn] Trash the top card of your security stack.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-048,WarGreymon,6,Digimon,Yellow,Mega,Vaccine,Dragonkin,11000,12,3,5,NULL,NULL,[When Attacking][Once Per Turn] You may add the top card of your security stack to your hand to unsuspend this Digimon and have 1 of your opponent's Digimon get -6000 DP for the turn.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-049,Varodurumon,6,Digimon,Yellow,Mega,Vaccine,Holy Bird,11000,13,3,5,NULL,NULL,[Main] ＜Digi-Burst 3＞ (Trash 3 of this Digimon's digivolution cards to activate the effect below.)・All of your opponent's Digimon get -4000 DP for the turn.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-050,Liollmon,3,Digimon,Green,Rookie,Vaccine,Holy Beast,5000,2,2,2,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-051,DoKunemon,3,Digimon,Green,Rookie,Virus,Larva,2000,3,0,2,NULL,NULL,[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card with ＜Digi-Burst＞ among them to your hand. Place the remaining cards at the bottom of your deck in any order.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-052,Lalamon,3,Digimon,Green,Rookie,Data,Vegetation,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, return this card to its owner's hand.",NULL,booster, Great Legend [Bt-04]
BT4-053,Roachmon,4,Digimon,Green,Champion,Virus,Insectoid,3000,3,1,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-054,Sunflowmon,4,Digimon,Green,Champion,Data,Vegetation,5000,5,2,3,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・1 of your opponent's suspended Digimon doesn't unsuspend during your opponent's next unsuspend phase.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-055,Leomon,4,Digimon,Green,Champion,Vaccine,Beastkin,5000,5,2,3,NULL,NULL,[When Digivolving] Suspend 1 of your opponent's Digimon with 3000 DP or less.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-056,SkullScorpiomon,5,Digimon,Green,Ultimate,Data,Insectoid,6000,5,2,4,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-057,GrapLeomon,5,Digimon,Green,Ultimate,Vaccine,Beastkin,6000,7,2,4,NULL,NULL,[When Attacking] Gain 1 memory.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-058,Orochimon,5,Digimon,Green,Ultimate,Virus,Dark Dragon,8000,8,3,4,NULL,NULL,"[When Digivolving] 1 of your Digimon gains ＜Piercing＞ for the turn. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)",NULL,NULL,booster, Great Legend [Bt-04]
BT4-059,Lilamon,5,Digimon,Green,Ultimate,Data,Fairy,7000,8,3,4,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Suspend 1 of your opponent's Digimon.,"[When Attacking] If you have a Tamer in play, suspend 1 of your opponent's Digimon.",NULL,booster, Great Legend [Bt-04]
BT4-060,Lotosmon,6,Digimon,Green,Mega,Data,Fairy,12000,11,4,5,NULL,NULL,"[All Turns] When you or your opponent play a level 4 or lower Digimon, suspend it.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-061,BanchoLeomon,6,Digimon,Green,Mega,Vaccine,Beastkin/Boss,11000,12,3,5,NULL,NULL,[On Deletion] Suspend up to 2 of your opponent's Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-062,Nidhoggmon,6,Digimon,Green,Mega,Virus,Dark Dragon,13000,13,5,5,NULL,NULL,"[When Digivolving] ＜Digi-Burst 4＞ (Trash 4 of this Digimon's digivolution cards to activate the effect below.)・Suspend all of your opponent's Digimon with 5000 DP or less. Then, place all of your opponent's suspended Digimon at the bottom of their owners' decks in any order. Trash all of the digivolution cards of those Digimon.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-063,Commandramon,3,Digimon,Black,Rookie,Virus,Cyborg/D-Brigade,1000,3,0,2,NULL,NULL,[On Deletion] Reveal the top 3 cards of your deck. You may play 1 [Commandramon] among them without paying its memory cost. Place the remaining cards at the bottom of your deck in any order.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-064,Sunarizamon,3,Digimon,Black,Rookie,Virus,Reptile,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, return this card to its owner's hand.",NULL,booster, Great Legend [Bt-04]
BT4-065,Gotsumon,3,Digimon,Black,Rookie,Data,Rock,6000,4,1,2,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-066,Golemon,4,Digimon,Black,Champion,Virus,Mineral,3000,4,2,3,NULL,NULL,[All Turns] All of your black Digimon get +1000 DP.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-067,Sealsdramon,4,Digimon,Black,Champion,Virus,Cyborg/D-Brigade,6000,5,2,3,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-068,Baboongamon,4,Digimon,Black,Champion,Vaccine,Beast,4000,5,2,3,NULL,NULL,"[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Trigger ＜De-Digivolve 1＞ on 1 of your opponent's Digimon with a play cost of 7 or less. (Trash 1 card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)",NULL,NULL,booster, Great Legend [Bt-04]
BT4-069,Blimpmon,4,Digimon,Black,Champion,Data,Machine,7000,6,2,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-070,Meteormon,5,Digimon,Black,Ultimate,Data,Rock,8000,7,3,4,NULL,NULL,＜Reboot＞ (Unsuspend this Digimon during your opponent's unsuspend phase.),NULL,NULL,booster, Great Legend [Bt-04]
BT4-071,Tankdramon,5,Digimon,Black,Ultimate,Virus,Machine/D-Brigade,7000,7,3,4,NULL,NULL,"[Your Turn] When one of your other Digimon with [D-Brigade] in its type is deleted, reveal the top 2 cards of your deck. You may play 1 [Commandramon] among them without paying its memory cost. Place the remaining cards at the bottom of your deck in any order.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-072,Gogmamon,5,Digimon,Black,Ultimate,Vaccine,Rock,7000,8,3,4,NULL,NULL,[Main] ＜Digi-Burst 1＞ (Trash 1 of this Digimon's digivolution cards to activate the effect below.)・1 of your Digimon gets +2000 DP until the end of your opponent's next turn.,[All Turns] This Digimon gets +1000 DP.,NULL,booster, Great Legend [Bt-04]
BT4-073,BanchoGolemon,6,Digimon,Black,Mega,Virus,Mineral/Boss,11000,11,3,5,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[Opponent's Turn] While your opponent has 3 or more Digimon in play, this Digimon gets +3000 DP.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-074,Darkdramon,6,Digimon,Black,Mega,Virus,Cyborg/D-Brigade,11000,13,3,5,NULL,NULL,"＜Rush＞ (This Digimon can attack the turn it comes into play.)[On Play] Return up to 5 Digimon cards with [D-Brigade] in their types from your trash to the top of your deck in any order, and for each card you return this way, gain 2 memory.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-075,Blastmon,6,Digimon,Black,Mega,Vaccine,Mineral,13000,13,3,5,NULL,NULL,"＜Security Attack +1＞ (This Digimon checks 1 additional security card.)[When Attacking] Your opponent may choose 1 of their unsuspended Digimon. If they do, switch the target of attack to that Digimon.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-076,Gabumon,3,Digimon,Purple,Rookie,Virus,Reptile,4000,3,0,2,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-077,Ghostmon,3,Digimon,Purple,Rookie,Data,Ghost,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, return this card to its owner's hand.",NULL,booster, Great Legend [Bt-04]
BT4-078,Soundbirdmon,3,Digimon,Purple,Rookie,Virus,Avian,1000,3,0,2,NULL,NULL,[When Attacking] You may trash 1 Option card in your hand to gain 1 memory.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-079,Labramon,3,Digimon,Purple,Rookie,Vaccine,Beast,2000,3,0,2,NULL,NULL,"[On Play] Trigger ＜Draw 1＞. (Draw 1 card from your deck.) Then, trash 1 card in your hand.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-080,Bakemon,4,Digimon,Purple,Champion,Virus,Ghost,6000,5,2,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-081,Devimon,4,Digimon,Purple,Champion,Virus,Fallen Angel,5000,6,2,3,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Delete 1 of your opponent's level 3 Digimon.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-082,Dobermon,4,Digimon,Purple,Champion,Vaccine,Dark Animal,7000,6,2,3,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-083,Cerberusmon,5,Digimon,Purple,Ultimate,Vaccine,Dark Animal,6000,6,3,4,NULL,NULL,"[On Deletion] Trigger ＜Draw 2＞. (Draw 2 cards from your deck.) Then, trash 1 card in your hand.",NULL,NULL,booster, Great Legend [Bt-04]
BT4-084,NeoDevimon,5,Digimon,Purple,Ultimate,Virus,Fallen Angel,7000,7,3,4,NULL,NULL,"[Opponent's Turn] When an opponent plays a Tamer, gain 3 memory.","[Opponent's Turn] When an opponent's Tamer becomes suspended, gain 1 memory.",NULL,booster, Great Legend [Bt-04]
BT4-085,Phantomon,5,Digimon,Purple,Ultimate,Virus,Ghost,10000,7,3,4,NULL,NULL,NULL,NULL,NULL,booster, Great Legend [Bt-04]
BT4-086,Cerberusmon: Werewolf Mode,5,Digimon,Purple,Ultimate,Vaccine,Wizard,9000,9,3,4,NULL,NULL,＜Rush＞ (This Digimon can attack the turn it comes into play.)[On Play] You may delete 1 of your [Cerberusmon] to gain 9 memory.,NULL,NULL,booster, Great Legend [Bt-04]
BT4-087,Anubismon,6,Digimon,Purple,Mega,Vaccine,Shaman,10000,11,3,5,NULL,NULL,"[When Digivolving] You may play 1 level 3 Digimon card from your trash without paying its memory cost.[Your Turn] When you play a Digimon from your trash, that Digimon gains ＜Rush＞ for the turn. (This Digimon can attack the turn it comes into play.)",NULL,NULL,booster, Great Legend [Bt-04]
