"Code","Deck_Type","Deck_Name","Name","Card_Type","Form","Attribute","Type","Color","Card_Level","DP","Play_Cost","Cost_Digievolution1","Level_Digievolution1","Cost_Digievolution2","Level_Digievolution2","Effect","Digivolve_Effect","Security_Effect"
"ST2-16","Start Deck","Cocytus Blue","Cocytus Breath","Option","-","-","-","Blue",NA,NA,7,NA,NA,NA,NA,"[Main] Return 1 of your opponent's Digimon to its owner's hand. Trash any digivolution cards placed under it.","-","[Security] Activate this card's [Main] effect."
"ST3-01","Start Deck","Heaven's Yellow","Tokomon","Digi-Egg","In-Training","-","Lesser","Yellow","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted by dropping to 0 DP, this Digimon gets +1000 DP for the turn.","-"
"ST3-02","Start Deck","Heaven's Yellow","Salamon","Digimon","Rookie","Vaccine","Mammal","Yellow","3",3000,2,0,"2",NA,NA,"-","-","-"
"ST3-03","Start Deck","Heaven's Yellow","Tapirmon","Digimon","Rookie","Vaccine","Holy Beast","Yellow","3",4000,3,0,"2",NA,NA,"-","-","-"
"ST3-04","Start Deck","Heaven's Yellow","Patamon","Digimon","Rookie","Data","Mammal","Yellow","3",1000,3,0,"2",NA,NA,"-","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted by dropping to 0 DP, gain 1 memory.","-"
"ST3-05","Start Deck","Heaven's Yellow","Angemon","Digimon","Champion","Vaccine","Angel","Yellow","4",4000,5,2,"3",NA,NA,"-","[When Attacking] If you have 4 or more security cards, gain 1 memory.","-"
"ST3-06","Start Deck","Heaven's Yellow","Gatomon","Digimon","Champion","Vaccine","Holy Beast","Yellow","4",5000,4,2,"3",NA,NA,"-","-","-"
"ST3-07","Start Deck","Heaven's Yellow","Unimon","Digimon","Champion","Vaccine","Mythical Beast","Yellow","4",6000,5,2,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"ST3-08","Start Deck","Heaven's Yellow","MagnaAngemon","Digimon","Ultimate","Vaccine","Archangel","Yellow","5",7000,7,3,"4",NA,NA,"-","[When Attacking] 1 of your opponent's Digimon gets -1000 DP for the turn.","-"
"ST3-09","Start Deck","Heaven's Yellow","Angewomon","Digimon","Ultimate","Vaccine","Archangel","Yellow","5",7000,6,3,"4",NA,NA,"[When Digivolving] When you have 3 security cards or less, trigger <Recovery +1 (Deck)> (Take the top card of your deck and place it on top of your security stack.).","-","-"
"ST3-10","Start Deck","Heaven's Yellow","Magnadramon","Digimon","Mega","Vaccine","Holy Dragon/Four Great Dragons","Yellow","6",12000,10,2,"5",NA,NA,"-","-","-"
"ST3-11","Start Deck","Heaven's Yellow","Seraphimon","Digimon","Mega","Vaccine","Seraph/","Yellow","6",10000,12,4,"5",NA,NA,"[When Attacking] 1 of your opponent's Digimon gets -4000 DP for the turn.","-","-"
"ST3-12","Start Deck","Heaven's Yellow","Takeru Takaishi","Tamer","-","-","-","Yellow",NA,NA,2,NA,NA,NA,NA,"[Opponent's Turn] All of your Security Digimon get +2000 DP.","-","[Security] Play this card without paying its cost."
"ST3-13","Start Deck","Heaven's Yellow","Heaven's Gate","Option","-","-","-","Yellow",NA,NA,1,NA,NA,NA,NA,"[Main] 1 of your Digimon gets +3000 DP for the turn.","-","[Security] All of your Digimon and Security Digimon get +5000 DP for the turn. Add this card to its owner's hand."
"ST3-14","Start Deck","Heaven's Yellow","Heaven's Charm","Option","-","-","-","Yellow",NA,NA,2,NA,NA,NA,NA,"[Main] 1 of your opponent's Digimon gets -2000 DP for the turn.","-","[Security] Add this card to its owner's hand."
"ST3-15","Start Deck","Heaven's Yellow","Holy Flame","Option","-","-","-","Yellow",NA,NA,2,NA,NA,NA,NA,"[Main] 1 of your opponent's Digimon gets <Security Attack -3> (This Digimon checks 3 fewer security cards.) until the end of your opponent's next turn.","-","[Security] All of your opponent's Digimon get  <Security Attack -1> (This Digimon checks 1 fewer security card.) for the turn. "
"ST3-16","Start Deck","Heaven's Yellow","Seven Heavens","Option","-","-","-","Yellow",NA,NA,7,NA,NA,NA,NA,"[Main] 1 of your opponent's Digimon gets -1000 DP for the turn.","-","[Security] Activate this card's [Main] effect."
"ST4-01","Start Deck","Giga Green","Motimon","Digi-Egg","In-Training","-","Lesser","Green","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn] While this Digimon is level 6 or higher, it gets +1000 DP.","-"
"ST4-02","Start Deck","Giga Green","Floramon","Digimon","Rookie","Data","Vegetation","Green","3",4000,2,1,"2",NA,NA,"-","-","-"
"ST4-03","Start Deck","Giga Green","Tentomon","Digimon","Rookie","Vaccine","Insectoid","Green","3",2000,3,0,"2",NA,NA,"[On Play] Reveal the top card of your deck. If it's a green Digimon card, add it to your hand. Otherwise, place it at the bottom of your deck.","-","-"
"ST4-04","Start Deck","Giga Green","Palmon","Digimon","Rookie","Data","Vegetation","Green","3",2000,3,0,"2",NA,NA,"-","[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.","-"
"ST4-05","Start Deck","Giga Green","Kunemon","Digimon","Rookie","Virus","Larva","Green","3",5000,4,0,"2",NA,NA,"-","-","-"
"ST4-06","Start Deck","Giga Green","Togemon","Digimon","Champion","Data","Vegetation","Green","4",4000,4,2,"3",NA,NA,"-","[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.","-"
"ST4-07","Start Deck","Giga Green","Kuwagamon","Digimon","Champion","Virus","Insectoid","Green","4",6000,5,2,"3",NA,NA,"-","-","-"
"ST4-08","Start Deck","Giga Green","Kabuterimon","Digimon","Champion","Vaccine","Insectoid","Green","4",5000,6,1,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"ST4-09","Start Deck","Giga Green","Okuwamon","Digimon","Ultimate","Virus","Insectoid","Green","5",7000,6,2,"4",NA,NA,"-","-","-"
"ST4-10","Start Deck","Giga Green","Lillymon","Digimon","Ultimate","Data","Fairy","Green","5",7000,6,3,"4",NA,NA,"[When Digivolving] Reveal the top 5 cards of your deck. Add 1 level 6 or higher Digimon card among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","-"
"ST4-11","Start Deck","Giga Green","MegaKabuterimon","Digimon","Ultimate","Vaccine","Insectoid","Green","5",7000,7,3,"4",NA,NA,"-","[Your Turn][Once Per Turn] When this Digimon deletes an opponent's Digimon in battle and survives, trash the top card of your opponent's security stack.","-"
"ST4-12","Start Deck","Giga Green","Rosemon","Digimon","Mega","Data","Fairy","Green","6",11000,10,3,"5",NA,NA,"[When Digivolving] 1 of your opponent's Digimon can't attack or block until the end of their next turn.","-","-"
"ST4-13","Start Deck","Giga Green","HerculesKabuterimon","Digimon","Mega","Vaccine","Insectoid","Green","6",12000,12,4,"5",NA,NA,"<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[Main] <Digi-Burst 2> (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)·Suspend 1 of your opponent's Digimon.","-","-"
"ST4-14","Start Deck","Giga Green","Izzy Izumi","Tamer","-","-","-","Green",NA,NA,2,NA,NA,NA,NA,"[Your Turn] When one of your opponent's Digimon becomes suspended, you may suspend this Tamer to gain 1 memory.","-","[Security] Play this card without paying its memory cost."
"ST4-15","Start Deck","Giga Green","Needle Spray","Option","-","-","-","Green",NA,NA,2,NA,NA,NA,NA,"[Main] Suspend 1 of your opponent's Digimon. ","-","[Security] Activate this card's [Main] effect. Then, add this card to your hand."
"ST4-16","Start Deck","Giga Green","Electro Shocker","Option","-","-","-","Green",NA,NA,5,NA,NA,NA,NA,"[Main] Return 1 of your opponent's suspended Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.","-","[Security] Activate this card's [Main] effect."
"ST5-01","Start Deck","Mugen Black","Kapurimon","Digi-Egg","In-Training","-","Lesser","Black","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn] While this Digimon has <Blocker>, it gets +1000 DP.","-"
"ST5-02","Start Deck","Mugen Black","Jazamon","Digimon","Rookie","Data","Bird Dragon","Black","3",4000,2,1,"2",NA,NA,"-","-","-"
"ST5-03","Start Deck","Mugen Black","Agumon","Digimon","Rookie","Vaccine","Reptile","Black","3",1000,3,0,"2",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","-"
"ST5-04","Start Deck","Mugen Black","ToyAgumon","Digimon","Rookie","Virus","Puppet","Black","3",2000,3,0,"2",NA,NA,"-","[End of Opponent's Turn] If your opponent didn't attack with a Digimon this turn, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"ST5-05","Start Deck","Mugen Black","Commandramon","Digimon","Rookie","Virus","Cyborg/D-Brigade","Black","3",5000,4,0,"2",NA,NA,"-","-","-"
"ST5-06","Start Deck","Mugen Black","Greymon","Digimon","Champion","Virus","Dinosaur","Black","4",4000,4,2,"3",NA,NA,"-","[End of Opponent's Turn] If your opponent didn't attack with a Digimon this turn, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"ST5-07","Start Deck","Mugen Black","Jazardmon","Digimon","Champion","Data","Machine Dragon","Black","4",6000,5,2,"3",NA,NA,"-","-","-"
"ST5-08","Start Deck","Mugen Black","DarkTyrannomon","Digimon","Champion","Virus","Dinosaur","Black","4",5000,6,1,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"ST5-09","Start Deck","Mugen Black","MetalGreymon","Digimon","Ultimate","Virus","Cyborg","Black","5",7000,6,3,"4",NA,NA,"[When Digivolving] Until the end of your opponent's next turn, 1 of your Digimon gains <Blocker>. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","-"
"ST5-10","Start Deck","Mugen Black","MetalTyrannomon","Digimon","Ultimate","Virus","Cyborg","Black","5",9000,6,3,"4",NA,NA,"-","-","-"
"ST5-11","Start Deck","Mugen Black","Megadramon","Digimon","Ultimate","Virus","Cyborg","Black","5",7000,7,3,"4",NA,NA,"-","<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-"
"ST5-12","Start Deck","Mugen Black","Machinedramon","Digimon","Mega","Virus","Machine","Black","6",11000,10,3,"5",NA,NA,"[When Digivolving] Up to 2 of your Digimon gain <Reboot>  (Unsuspend this Digimon during your opponent's unsuspend phase) until the end of your opponent's next turn.","-","-"
"ST5-13","Start Deck","Mugen Black","BlitzGreymon","Digimon","Mega","Virus","Cyborg","Black","6",12000,12,4,"5",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)[Main] <Digi-Burst 2> (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)·1 of your Digimon gets +4000 DP until the end of your opponent's next turn.","-","-"
"ST5-14","Start Deck","Mugen Black","Tai Kamiya","Tamer","-","-","-","Black",NA,NA,2,NA,NA,NA,NA,"[Opponent's Turn] When you use <Blocker> to suspend one of your Digimon, you may suspend this Tamer to unsuspend 1 of your Digimon.","-","[Security] Play this card without paying its memory cost."
"ST5-15","Start Deck","Mugen Black","Laser Eye","Option","-","-","-","Black",NA,NA,4,NA,NA,NA,NA,"[Main] Trigger <De-Digivolve 1> on up to 2 of your opponent's Digimon. (Trash a card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-","[Security] Activate this card's [Main] effect."
"ST5-16","Start Deck","Mugen Black","Dark Side Attack","Option","-","-","-","Black",NA,NA,5,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's Digimon with a play cost of 7 or less.","-","[Security] Activate this card's [Main] effect."
"ST6-01","Start Deck","Venom Violet","Pagumon","Digi-Egg","In-Training","-","Lesser","Purple","2",NA,NA,NA,NA,NA,NA,"-","[On Deletion] Trash the top 2 cards of your deck.","-"
"ST6-02","Start Deck","Venom Violet","DemiDevimon","Digimon","Rookie","Virus","Evil","Purple","3",4000,2,1,"2",NA,NA,"-","-","-"
"ST6-03","Start Deck","Venom Violet","Gabumon","Digimon","Rookie","Data","Reptile","Purple","3",2000,3,0,"2",NA,NA,"-","[When Attacking] Trigger <Draw 1>. (Draw 1 card from your deck.) Then, trash 1 card in your hand.","-"
"ST6-04","Start Deck","Venom Violet","Dracmon","Digimon","Rookie","Virus","Undead","Purple","3",2000,3,0,"2",NA,NA,"[On Play] You may return 1 purple Option card with a memory cost of 1 or 7 from your trash to your hand.","-","-"
"ST6-05","Start Deck","Venom Violet","Elecmon","Digimon","Rookie","Virus","Mammal","Purple","3",5000,4,0,"2",NA,NA,"-","-","-"
"ST6-06","Start Deck","Venom Violet","Garurumon","Digimon","Champion","Virus","Beast","Purple","4",4000,4,2,"3",NA,NA,"-","[When Attacking] Trigger <Draw 1>. (Draw 1 card from your deck.) Then, trash 1 card in your hand.","-"
"ST6-07","Start Deck","Venom Violet","Youkomon","Digimon","Champion","Data","Mysterious Beast","Purple","4",6000,5,2,"3",NA,NA,"-","-","-"
"ST6-08","Start Deck","Venom Violet","Devimon","Digimon","Champion","Virus","Fallen Angel","Purple","4",5000,6,1,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"ST6-09","Start Deck","Venom Violet","Kyukimon","Digimon","Ultimate","Virus","Mysterious Beast","Purple","5",9000,6,3,"4",NA,NA,"-","-","-"
"ST6-10","Start Deck","Venom Violet","SkullSatamon","Digimon","Ultimate","Virus","Undead","Purple","5",7000,6,3,"4",NA,NA,"[When Digivolving] You may return 1 purple Digimon card from your trash to your hand.","-","-"
"ST6-11","Start Deck","Venom Violet","WereGarurumon","Digimon","Ultimate","Virus","Beastkin","Purple","5",7000,7,3,"4",NA,NA,"-","[Your Turn] While there are 5 or more cards in your trash, this Digimon gets +2000 DP.","-"
"ST6-12","Start Deck","Venom Violet","VenomMyotismon","Digimon","Mega","Virus","Dark Animal","Purple","6",11000,10,3,"4",NA,NA,"[When Digivolving] Up to 2 of your Digimon gain <Retaliation> (When this Digimon is deleted after losing a battle, delete the Digimon it was battling) until the end of your opponent's next turn.","-","-"
"ST6-13","Start Deck","Venom Violet","CresGarurumon","Digimon","Mega","Data","Beast Knight","Purple","6",12000,12,4,"5",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)[Main] <Digi-Burst 2> (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)·Play 1 purple level 3 Digimon card from your trash without paying its memory cost.","-","-"
"ST6-14","Start Deck","Venom Violet","Matt Ishida","Tamer","-","-","-","Purple",NA,NA,2,NA,NA,NA,NA,"[Your Turn] When one of your Digimon is deleted, you may suspend this Tamer to gain 1 memory.","-","[Security] Play this card without paying its memory cost."
"ST6-15","Start Deck","Venom Violet","Death Claw","Option","-","-","-","Purple",NA,NA,1,NA,NA,NA,NA,"[Main] You may delete 1 of your Digimon to delete 1 of your opponent's level 4 or lower Digimon.","-","[Security] Delete 1 of your opponent's level 4 or lower Digimon."
"ST6-16","Start Deck","Venom Violet","Nail Bone","Option","-","-","-","Purple",NA,NA,7,NA,NA,NA,NA,"[Main] You may play 1 purple level 3 Digimon card and 1 purple level 4 Digimon card from your trash without paying their memory costs. Any [On Play] effects on Digimon played with this effect don't activate.","-","[Security] You may play 1 purple level 4 or lower Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate."
"BT1-009","Start Deck","Gallantmon","Monodramon","Digimon","Rookie","Vaccine","Mini Dragon","Red","2",3000,2,0,"2",NA,NA,"-","-","-"
"BT1-019","Start Deck","Gallantmon","DarkTyrannomon","Digimon","Champion","Virus","Dinosaur","Red","3",6000,6,1,"3",NA,NA,"-","-","-"
"BT1-020","Start Deck","Gallantmon","Groundramon","Digimon","Ultimate","Virus","Earth Dragon","Red","3",6000,5,2,"4",NA,NA,"-","-","-"
"ST7-01","Start Deck","Gallantmon","Gigimon","Digi-Egg","In-Training","-","Lesser","Red","3",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted, this Digimon gets +2000 DP for the turn.","-"
"ST7-02","Start Deck","Gallantmon","Agumon","Digimon","Rookie","Vaccine","Dinosaur","Red","3",2000,3,0,"2",NA,NA,"-","[When Attacking] When this Digimon attacks a player, it gets +2000 DP for the turn.","-"
"ST7-03","Start Deck","Gallantmon","Guilmon","Digimon","Rookie","Virus","Reptile","Red","4",2000,3,0,"2",NA,NA,"[Your Turn] If your opponent has a level 6 or higher Digimon in play, this Digimon can digivolve into a [Gallantmon] in your hand for a memory cost of 4, ignoring its digivolution requirements.","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"ST7-04","Start Deck","Gallantmon","Biyomon","Digimon","Rookie","Vaccine","Bird","Red","4",3000,4,0,"2",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[Your Turn] This Digimon can't attack players.","-","-"
"ST7-05","Start Deck","Gallantmon","Growlmon","Digimon","Champion","Virus","Dark Dragon","Red","4",5000,4,2,"3",NA,NA,"-","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted, gain 1 memory.","-"
"ST7-06","Start Deck","Gallantmon","GeoGreymon","Digimon","Champion","Vaccine","Dinosaur","Red","5",5000,6,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.[On Play] Delete 1 of your opponent's Digimon with 4000 DP or less.","-","-"
"ST7-07","Start Deck","Gallantmon","RizeGreymon","Digimon","Ultimate","Vaccine","Cyborg","Red","5",7000,7,3,"4",NA,NA,"[On Play] Delete 1 of your opponent's Digimon with 5000 DP or less.","-","-"
"ST7-08","Start Deck","Gallantmon","WarGrowlmon","Digimon","Ultimate","Virus","Cyborg","Red","5",8000,8,3,"4",NA,NA,"[When Attacking] Delete 1 of your opponent's Digimon with 3000 DP or less.","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted, this Digimon gains <Security Attack +1> for the turn. (This Digimon checks 1 additional security card.)","-"
"ST7-09","Start Deck","Gallantmon","Gallantmon","Digimon","Mega","Virus","Holy Warrior/Royal Knight","Red","6",11000,11,3,"5",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)[When Attacking] Delete 1 of your opponent's Digimon with 4000 DP or less. If no Digimon was deleted by this effect, this Digimon gets +3000 DP for the turn.","-","-"
"ST7-10","Start Deck","Gallantmon","ShineGreymon","Digimon","Mega","Vaccine","Light Dragon","Red","6",12000,12,4,"5",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","-","-"
"ST1-16","Start Deck","Gallantmon","Gaia Force","Option","-","-","-","Red",NA,NA,8,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's Digimon.","-","[Security] Activate this card's [Main] effect."
"ST7-11","Start Deck","Gallantmon","Lightning Joust","Option","-","-","-","Red",NA,NA,1,NA,NA,NA,NA,"[Main] 1 of your Digimon gets +2000 DP for the turn. Then, if the number of cards in your security stack is less than or equal to your opponent's, 1 of your Digimon gains <Security Attack +1> for the turn. (This Digimon checks 1 additional security card.)","-","[Security] Add this card to its owner's hand."
"ST7-12","Start Deck","Gallantmon","Atomic Blaster","Option","-","-","-","Red",NA,NA,5,NA,NA,NA,NA,"[Main] Choose any number of your opponent's Digimon whose total DP adds up to 8000 or less and delete them.","-","[Security] Activate this card's [Main] effect."
"BT1-028","Start Deck","Ulforceveedramon","Elecmon","Digimon","Rookie","Data","Mammal","Blue","2",3000,2,0,"2",NA,NA,"-","-","-"
"BT1-037","Start Deck","Ulforceveedramon","Gorillamon","Digimon","Champion","Data","Beastkin","Blue","3",6000,6,1,"3",NA,NA,"-","-","-"
"BT1-038","Start Deck","Ulforceveedramon","Monzaemon","Digimon","Ultimate","Vaccine","Puppet","Blue","3",6000,5,2,"4",NA,NA,"-","-","-"
"ST8-01","Start Deck","Ulforceveedramon","DemiVeemon","Digi-Egg","In-Training","-","Baby Dragon","Blue","3",NA,NA,NA,NA,NA,NA,"-","[Your Turn] While you have 8 or more cards in your hand, this Digimon gets +1000 DP.","-"
"ST8-02","Start Deck","Ulforceveedramon","Gabumon","Digimon","Rookie","Data","Reptile","Blue","3",2000,3,0,"2",NA,NA,"-","[All Turns] While you have 8 or more cards in your hand, this Digimon gets +1000 DP.","-"
"ST8-03","Start Deck","Ulforceveedramon","Dracomon","Digimon","Rookie","Data","Dragon","Blue","4",2000,3,0,"2",NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card with [Dramon] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","-"
